Ranking    Team                Record     Conf       SubDiv     Rating     MoV        SoS        Last Year
217        Western Illinois    1-2        OVC        FCS        -0.435     -          -          220
218        Dayton              2-0        PFL        FCS        -0.440     -          -          221
219        Charleston Southern 1-2        OVC        FCS        -0.444     -          -          205
220        Bryant              2-1        CAA        FCS        -0.447     -          -          233
221        Merrimack           1-2        -          FCS        -0.453     -          -          223
222        Drake               0-3        PFL        FCS        -0.454     -          -          187
223        Duquesne            0-2        NEC        FCS        -0.461     -          -          209
224        East Texas A&M      1-2        SL         FCS        -0.463     -          -          228
225        Mercyhurst          0-3        NEC        FCS        -0.480     -          -          225
226        Grambling           2-1        SWAC       FCS        -0.487     -          -          239
227        Norfolk State       1-2        MEAC       FCS        -0.495     -          -          249
228        Robert Morris       2-1        NEC        FCS        -0.497     -          -          245
229        Columbia            0-0        Ivy        FCS        -0.498     -          -          229
230        LIU                 0-3        NEC        FCS        -0.498     -          -          207
231        Butler              2-1        PFL        FCS        -0.501     -          -          226
232        Sacred Heart        0-2        CAA        FCS        -0.512     -          -          218
233        Eastern Illinois    1-2        OVC        FCS        -0.513     -          -          227
234        Howard              1-2        MEAC       FCS        -0.526     -          -          244
235        UT Martin           1-2        OVC        FCS        -0.530     -          -          193
236        Holy Cross          0-3        PL         FCS        -0.533     -          -          201
237        Georgetown          0-1        PL         FCS        -0.533     -          -          234
238        Presbyterian        1-1        PFL        FCS        -0.535     -          -          208
239        Stonehill           1-2        NEC        FCS        -0.544     -          -          240
240        Fordham             0-3        PL         FCS        -0.575     -          -          248
241        Bethune-Cookman     1-1        SWAC       FCS        -0.582     -          -          236
242        Florida A&M         1-2        SWAC       FCS        -0.591     -          -          251
243        Wagner              1-2        NEC        FCS        -0.596     -          -          235
244        Alabama A&M         2-1        SWAC       FCS        -0.598     -          -          253
245        Marist              1-2        PFL        FCS        -0.599     -          -          246
246        Texas Southern      1-2        SWAC       FCS        -0.605     -          -          241
247        Alcorn State        2-1        SWAC       FCS        -0.615     -          -          243
248        Houston Christian   2-1        SL         FCS        -0.623     -          -          254
249        Murray State        1-2        MVC        FCS        -0.625     -          -          230
250        Morgan State        2-1        MEAC       FCS        -0.628     -          -          237
251        Samford             0-3        SoCon      FCS        -0.633     -          -          247
252        Bucknell            1-2        PL         FCS        -0.634     -          -          238
253        VMI                 0-3        SoCon      FCS        -0.667     -          -          250
254        Tennessee State     0-3        OVC        FCS        -0.676     -          -          252
255        New Haven           1-2        NEC        FCS        -0.692     -          -          242
256        Pine Bluff          1-2        SWAC       FCS        -0.699     -          -          255
257        Southern            1-2        SWAC       FCS        -0.699     -          -          260
258        Morehead State      1-2        PFL        FCS        -0.701     -          -          256
259        NC A&T              0-3        CAA        FCS        -0.776     -          -          257
260        Hampton             1-2        CAA        FCS        -0.845     -          -          259
261        Northwestern State  0-3        SL         FCS        -0.864     -          -          258
262        Valparaiso          1-1        PFL        FCS        -0.923     -          -          263
263        Stetson             1-2        PFL        FCS        -0.959     -          -          265
264        Davidson            1-2        PFL        FCS        -0.970     -          -          264
265        Mississippi Valley  1-2        SWAC       FCS        -0.975     -          -          262
266        Chicago State       1-2        -          FCS        -1.377     -          -          -
