Ranking,Team,Record,Conf,SubDiv,Rating,MoV,SoS,Last Year
64,Ohio,2-Mar,MAC,FBS,0.385,126,30,60
65,Montana State,2-Mar,BSky,FCS,0.384,66,127,41
66,Virginia Tech,3-Feb,ACC,FBS,0.384,163,18,26
67,Syracuse,2-Mar,ACC,FBS,0.38,130,43,40
68,East Carolina,2-Mar,Amer,FBS,0.375,61,73,109
69,NC State,2-Mar,ACC,FBS,0.356,132,14,90
70,Arizona,1-Mar,B12,FBS,0.355,67,59,98
71,Army,3-Jan,Amer,FBS,0.348,205,19,25
72,UCF,1-Mar,B12,FBS,0.341,54,140,70
73,Texas State,1-Mar,SB,FBS,0.336,84,105,63
74,Boston College,3-Jan,ACC,FBS,0.332,98,114,45
75,UTSA,2-Feb,Amer,FBS,0.317,99,50,89
76,Wisconsin,2-Feb,B10,FBS,0.315,191,31,39
77,USF,1-Mar,Amer,FBS,0.313,113,7,110
78,Cal,1-Apr,ACC,FBS,0.31,83,115,69
79,Louisiana Tech,1-Apr,CUSA,FBS,0.294,62,101,120
80,Washington State,2-Mar,P12,FBS,0.266,147,57,66
81,Wake Forest,2-Feb,ACC,FBS,0.261,100,66,97
82,Northwestern,2-Feb,B10,FBS,0.257,146,44,85
83,Purdue,2-Feb,B10,FBS,0.256,136,13,112
84,UConn,2-Mar,-,FBS,0.247,78,142,77
85,Fresno State,1-Apr,MW,FBS,0.245,94,116,73
86,North Carolina,2-Feb,ACC,FBS,0.245,124,86,79
87,Miami OH,3-Jan,MAC,FBS,0.236,159,62,74
88,Utah State,2-Mar,MW,FBS,0.226,93,74,127
89,Hawai'i,2-Apr,MW,FBS,0.192,90,126,106
90,Marshall,3-Feb,SB,FBS,0.189,131,121,51
91,Western Michigan,3-Feb,MAC,FBS,0.183,180,24,99
92,Missouri State,3-Feb,CUSA,FBS,0.181,155,52,107
93,Tarleton State,May-00,UAC,FCS,0.179,9,219,122
94,Bowling Green,3-Feb,MAC,FBS,0.155,176,64,71
95,Montana,Apr-00,BSky,FCS,0.155,38,179,126
96,Western Kentucky,1-Apr,CUSA,FBS,0.152,110,122,95
97,Northern Illinois,3-Jan,MAC,FBS,0.143,201,63,76
98,West Virginia,3-Feb,B12,FBS,0.14,217,42,59
99,San Diego State,1-Mar,MW,FBS,0.129,77,103,164
100,Stanford,3-Feb,ACC,FBS,0.121,222,17,96
101,San Jose State,3-Jan,MW,FBS,0.12,188,61,92
102,New Mexico,1-Mar,MW,FBS,0.109,118,111,115
103,Rice,2-Mar,Amer,FBS,0.097,119,130,104
104,North Dakota,2-Feb,MVC,FCS,0.097,33,192,144
105,Georgia Southern,3-Feb,SB,FBS,0.088,200,60,83
106,South Alabama,4-Jan,SB,FBS,0.076,208,54,87
107,Oregon State,0-5,P12,FBS,0.072,248,3,101
108,UCLA,0-4,B10,FBS,0.072,261,21,50
109,Kennesaw State,2-Mar,CUSA,FBS,0.067,96,109,189
110,Tennessee Tech,Apr-00,BSth-OVC,FCS,0.062,2,259,153
111,Oklahoma State,3-Jan,B12,FBS,0.053,236,45,86
112,Southern Miss,2-Mar,SB,FBS,0.053,109,95,198
113,Tulsa,3-Feb,Amer,FBS,0.052,122,79,208
114,Delaware,1-Mar,CUSA,FBS,0.05,121,107,148
115,Colorado State,3-Jan,MW,FBS,0.043,227,71,82
116,Louisiana-Monroe,1-Mar,SB,FBS,0.042,120,147,118
117,Buffalo,3-Feb,MAC,FBS,0.04,123,162,91
118,Wyoming,2-Feb,MW,FBS,0.033,171,76,134
119,FIU,2-Feb,CUSA,FBS,0.031,141,118,135
120,Jax State,3-Feb,CUSA,FBS,0.03,143,145,94
121,Coastal Carolina,2-Feb,SB,FBS,0.028,192,89,102
122,SE Louisiana,2-Mar,SL,FCS,0.024,73,175,169
123,UC Davis,1-Mar,BSky,FCS,0.023,134,163,100
124,Northern Arizona,1-Apr,BSky,FCS,0.018,89,165,149
125,Georgia State,3-Jan,SB,FBS,0.014,228,20,133
126,Central Michigan,2-Mar,MAC,FBS,0.012,139,124,150
127,FAU,3-Jan,Amer,FBS,0.006,161,91,146
128,UAB,2-Feb,Amer,FBS,0.005,211,56,123
129,Mercer,1-Mar,SoCon,FCS,0.004,76,200,121
130,Lehigh,May-00,PL,FCS,-0.003,32,233,147
131,Air Force,3-Jan,MW,FBS,-0.008,189,104,108
132,Nevada,3-Jan,MW,FBS,-0.01,197,93,111
133,Troy,2-Feb,SB,FBS,-0.013,183,87,128
134,South Dakota,3-Feb,MVC,FCS,-0.014,187,125,80
135,App State,2-Feb,SB,FBS,-0.015,158,132,119
136,Sam Houston,0-4,CUSA,FBS,-0.02,264,8,88
137,Yale,Feb-00,Ivy,FCS,-0.024,69,204,137
138,Austin Peay,2-Mar,UAC,FCS,-0.026,80,183,174
139,Idaho,3-Feb,BSky,FCS,-0.027,157,156,93
